Date;Ouverture;Plus Haut;Plus Bas;Cloture
07/01/2020;7759.10;8182.00;7754.10;8155.70
08/01/2020;8154.20;8436.40;7900.80;8059.60
09/01/2020;8060.00;8065.90;7779.20;7842.40
10/01/2020;7842.50;8187.40;7697.70;8187.10
13/01/2020;8188.30;8196.70;8068.40;8111.40
14/01/2020;8111.20;8898.70;8111.20;8829.20
15/01/2020;8827.90;8904.00;8615.50;8818.30
16/01/2020;8818.10;8850.00;8605.80;8726.90
17/01/2020;8726.70;9005.10;8675.90;8913.10
20/01/2020;8705.70;8740.10;8539.20;8641.90
21/01/2020;8642.00;8770.30;8524.00;8732.60
22/01/2020;8733.00;8805.40;8610.80;8678.50
23/01/2020;8678.50;8687.30;8309.60;8405.10
24/01/2020;8404.90;8522.00;8242.60;8439.90
27/01/2020;8608.10;8983.10;8585.60;8866.60
28/01/2020;8866.60;9389.50;8866.60;9377.30
29/01/2020;9377.30;9428.70;9250.90;9298.90
30/01/2020;9299.10;9569.00;9209.20;9507.30
31/01/2020;9508.30;9525.00;9222.30;9349.10
03/02/2020;9334.60;9582.80;9243.10;9296.60
04/02/2020;9296.50;9347.50;9193.90;9193.90
05/02/2020;9194.10;9726.80;9179.90;9611.80
06/02/2020;9611.80;9854.90;9536.10;9772.00
07/02/2020;9771.90;9872.50;9738.70;9818.60
10/02/2020;10151.50;10181.70;9774.80;9854.10
11/02/2020;9854.00;10314.10;9725.10;10229.50
12/02/2020;10229.30;10435.60;10229.30;10317.70
13/02/2020;10321.90;10482.60;10116.90;10235.10
14/02/2020;10235.50;10372.40;10125.20;10333.00
18/02/2020;9701.50;10230.10;9601.60;10158.40
19/02/2020;10158.60;10230.90;9424.30;9609.40
20/02/2020;9611.90;9681.40;9448.90;9602.40
21/02/2020;9602.20;9747.10;9574.50;9684.50
24/02/2020;9943.20;9981.00;9507.00;9662.70
25/02/2020;9662.60;9672.30;9269.80;9317.20
26/02/2020;9317.10;9368.10;8672.00;8800.30
27/02/2020;8800.10;8968.30;8538.50;8818.60
28/02/2020;8820.10;8898.70;8451.90;8697.50
02/03/2020;8537.50;8961.80;8503.10;8904.80
03/03/2020;8906.10;8911.70;8669.30;8761.40
04/03/2020;8761.30;8840.30;8679.70;8757.90
05/03/2020;8757.90;9147.30;8751.50;9060.30
06/03/2020;9060.60;9165.20;9004.90;9134.80
09/03/2020;8035.80;8158.80;7648.70;7933.00
10/03/2020;7933.00;8145.50;7740.20;7891.20
11/03/2020;7892.10;7976.50;7606.00;7935.10
12/03/2020;7935.20;7963.10;4546.60;4826.00
13/03/2020;4815.20;5934.30;3869.50;5584.30
16/03/2020;5366.40;5369.30;4477.70;5030.00
17/03/2020;5030.20;5249.40;4946.50;5242.70
18/03/2020;5260.70;5373.10;5020.90;5361.40
19/03/2020;5359.20;6379.50;5256.00;6172.00
20/03/2020;6171.60;6858.10;5748.20;6205.30
23/03/2020;5831.37;6443.93;5785.00;6416.31
24/03/2020;6481.19;6803.59;6390.75;6766.88
25/03/2020;6770.19;6912.68;6536.51;6702.57
26/03/2020;6700.19;6770.81;6576.34;6737.55
27/03/2020;6747.29;6812.40;6449.08;6449.08
30/03/2020;5913.28;6565.79;5895.57;6445.97
31/03/2020;6399.33;6526.02;6374.85;6448.75
01/04/2020;6435.34;6654.75;6196.17;6651.36
02/04/2020;6657.38;7141.45;6583.83;6814.61
03/04/2020;6818.20;7022.97;6650.22;6752.13
06/04/2020;6794.38;7299.86;6791.83;7270.88
07/04/2020;7296.93;7461.87;7142.90;7180.35
08/04/2020;7160.79;7368.47;7138.30;7331.41
09/04/2020;7328.87;7355.45;7185.54;7315.24
13/04/2020;6987.84;6987.84;6680.95;6857.36
14/04/2020;6860.42;6975.32;6783.09;6830.17
15/04/2020;6822.00;6937.55;6636.67;6645.88
16/04/2020;6641.83;7114.29;6521.40;7104.95
17/04/2020;7113.49;7184.85;6989.64;7125.31
20/04/2020;7209.10;7257.48;6844.53;6890.72
21/04/2020;6883.65;6959.91;6832.70;6904.21
22/04/2020;6906.74;7197.58;6886.50;7143.89
23/04/2020;7147.01;7624.90;7070.67;7519.35
24/04/2020;7522.77;7609.47;7471.51;7562.13
27/04/2020;7681.62;7836.77;7681.62;7820.73
28/04/2020;7828.08;7828.91;7726.44;7826.86
29/04/2020;7821.17;8881.47;7793.49;8837.38
30/04/2020;8805.33;9428.15;8540.54;8665.29
01/05/2020;8671.04;9095.91;8671.04;8905.28
04/05/2020;8932.49;9086.18;8666.30;8910.39
05/05/2020;8902.12;9028.06;8851.74;8924.15
06/05/2020;8977.00;9377.18;8910.93;9222.94
07/05/2020;9201.26;9962.66;9114.55;9952.82
08/05/2020;9877.19;10029.30;9777.78;9846.47
11/05/2020;8772.65;9073.89;8294.48;8618.48
12/05/2020;8625.00;8952.75;8588.11;8818.72
13/05/2020;8825.88;9391.85;8825.88;9304.46
14/05/2020;9314.50;9826.59;9209.17;9722.31
15/05/2020;9722.40;9763.20;9235.95;9310.11
18/05/2020;9678.33;9925.98;9571.41;9744.91
19/05/2020;9734.22;9873.06;9516.15;9772.26
20/05/2020;9784.26;9814.85;9431.03;9531.31
